"","Experiment","Person","Repetition","Time","X","Y","Z"
"48640","5","9","7","40",17.8892551942621,-6.03391062971688,50.8855198688126
"48641","5","9","7","41",18.8912259222964,-6.10350764911636,51.2617709406115
"48642","5","9","7","42",19.8931966503306,-6.17310466851583,51.6380220124105
"48643","5","9","7","43",20.8951673783649,-6.2427016879153,52.0142730842094
"48644","5","9","7","44",21.8971381063991,-6.31229870731477,52.3905241560084
"48645","5","9","7","45",22.8991088344333,-6.38189572671425,52.7667752278073
"48646","5","9","7","46",23.9010795624676,-6.45149274611372,53.1430262996063
"48647","5","9","7","47",24.9030502905018,-6.52108976551319,53.5192773714052
"48648","5","9","7","48",25.9050210185361,-6.59068678491266,53.8955284432042
"48649","5","9","7","49",26.9069917465703,-6.66028380431213,54.2717795150031
"48650","5","9","7","50",27.9089624746046,-6.72988082371161,54.6480305868021
"48651","5","9","7","51",28.9109332026388,-6.79947784311108,55.024281658601
"48652","5","9","7","52",29.9287595308666,-6.79364761632289,55.1448284270197
"48653","5","9","7","53",30.9720421549136,-6.69929895301149,54.948542986335
"48654","5","9","7","54",32.0252980256068,-6.58889483330811,54.6908893157809
"48655","5","9","7","55",33.0725166254866,-6.45118207947131,54.3687720722674
"48656","5","9","7","56",34.1127374269391,-6.29958734015576,53.9924870779708
"48657","5","9","7","57",35.1566885587977,-6.14111669752953,53.5678734673894
"48658","5","9","7","58",36.1971772848651,-5.95184534899824,53.065943572832
"48659","5","9","7","59",37.2436879204521,-5.74079859009692,52.4957143637674
"48660","5","9","7","60",38.2704428418933,-5.51604192399547,51.8567908563802
"48661","5","9","7","61",39.2959228164922,-5.27681071515947,51.1610051638533
"48662","5","9","7","62",40.3363171617149,-5.02510883345292,50.4155632566346
"48663","5","9","7","63",41.3717522962721,-4.76788819165066,49.6161280885184
"48664","5","9","7","64",42.3896358724111,-4.51452874795025,48.758293456148
"48665","5","9","7","65",43.4087250259709,-4.26172749558173,47.8594671680432
"48666","5","9","7","66",44.4042531214308,-4.01761772802087,46.909379215616
"48667","5","9","7","67",45.3746756533542,-3.7815681951862,45.9090304450144
"48668","5","9","7","68",46.3150716942232,-3.55503782254852,44.8636885023824
"48669","5","9","7","69",47.2509777792341,-3.33551727350822,43.7973198148386
"48670","5","9","7","70",48.1792884187764,-3.11272472738289,42.7087460610108
"48671","5","9","7","71",49.0843519005698,-2.88378030271863,41.5961231192984
"48672","5","9","7","72",49.9612845046998,-2.64556367954845,40.4620978319882
"48673","5","9","7","73",50.7903513871312,-2.39665272484943,39.3044015833356
"48674","5","9","7","74",51.566204539162,-2.15489618879571,38.1396204220749
"48675","5","9","7","75",52.2862361326973,-1.92178575394713,36.9748648253381
"48676","5","9","7","76",52.9587117729972,-1.70189290171835,35.8189790550659
"48677","5","9","7","77",53.6056923582812,-1.51369168054721,34.6990027335191
"48678","5","9","7","78",54.2332740457671,-1.35732603545886,33.6178854050415
"48679","5","9","7","79",54.8244243290293,-1.21517949321044,32.560802826075
"48680","5","9","7","80",55.3753493983346,-1.08044383124745,31.5334516171212
"48681","5","9","7","81",55.8740651752133,-0.955523190337836,30.5438208578795
"48682","5","9","7","82",56.311503957484,-0.831289675276261,29.5910008731344
"48683","5","9","7","83",56.6978857566074,-0.709270659001717,28.6761555344265
"48684","5","9","7","84",57.0451678395441,-0.599474817411766,27.8020383048813
"48685","5","9","7","85",57.3647723927869,-0.498008812342244,26.974548538015
"48686","5","9","7","86",57.6665256893737,-0.399737124708723,26.19796293278
"48687","5","9","7","87",57.9552684033286,-0.310003771531292,25.4710999804959
"48688","5","9","7","88",58.2317091920755,-0.22707314736718,24.7896244126467
"48689","5","9","7","89",58.4845452762487,-0.137499623762632,24.1427865326552
"48690","5","9","7","90",58.7022369391363,-0.035377090636129,23.5265975142415
"48691","5","9","7","91",58.9032583676751,0.0646806213739397,22.9937729030233
"48692","5","9","7","92",59.1611246862227,0.117795869217861,22.6909089390805
"48693","5","9","7","93",59.465878056118,0.120359579981163,22.6301672327571
"48694","5","9","7","94",59.6427359735734,0.134809437070879,22.612628025027
"48695","5","9","7","95",59.7348019589735,0.1576854251656,22.6169306114924
"48696","5","9","7","96",59.8560840955412,0.129227077667033,22.6154168489245
"48697","5","9","7","97",59.9745950764501,0.104996757184816,22.6222644720083
"48698","5","9","7","98",60.066826803167,0.133299916142688,22.6289986539223
"48699","5","9","7","99",60.1319439658056,0.14116199675141,22.6356402811122
"48700","5","9","7","100",60.1666391340896,0.11908253371932,22.631957657799
"48701","5","9","8","1",0.241866111256439,0.26050334715382,22.4016236945501
"48702","5","9","8","2",0.263482844021615,0.260921850177729,22.4172347501257
"48703","5","9","8","3",0.273599044508225,0.257129735223893,22.4332131641515
"48704","5","9","8","4",0.272018064662351,0.256363697082863,22.4274981946567
"48705","5","9","8","5",0.256309664603834,0.246234115841984,22.4231584973099
"48706","5","9","8","6",0.175812220174797,0.211982257942571,22.4379756912259
"48707","5","9","8","7",0.0107892092708425,0.182084687661496,22.4970208430086
"48708","5","9","8","8",-0.185514708441607,0.272380733692383,22.6681345998599
"48709","5","9","8","9",-0.342671067017216,0.402145069180315,22.9903702535656
